channel_number,channel_id,stream_id,stream_name,stream_url,channel_group_id,timestamp,video_codec,audio_codec,interlaced_status,status,bitrate_kbps,fps,resolution,frames_decoded,frames_dropped,err_decode,err_discontinuity,err_timeout
238.0,178,22868,UK: KARAOKE 8,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381939.ts,1256,2025-12-13T13:13:13.659340,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
228.0,7564,22854,UK: BOX HITS,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/162423.ts,1256,2025-12-13T13:13:24.147017,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
228.0,7564,49856,UK: Box Hits,http://easyip.xyz/live/g38Stuew/j7jmCpJ/13331.ts,1256,2025-12-13T13:13:34.626636,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
236.0,176,22866,UK: KARAOKE 6,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381941.ts,1256,2025-12-13T13:13:34.626806,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
235.0,175,22865,UK: KARAOKE 5,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381942.ts,1256,2025-12-13T13:13:44.954546,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
227.0,7563,22860,UK: VH1,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/162422.ts,1256,2025-12-13T13:13:55.328674,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
226.0,155,22855,UK: CLUBLAND TV,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/162420.ts,1256,2025-12-13T13:14:05.593776,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
226.0,155,49632,UK: Clubland TV,http://easyip.xyz/live/g38Stuew/j7jmCpJ/15064.ts,1256,2025-12-13T13:14:15.951780,h264,mp2,INTERLACED,OK,1593.1736,25.0,720x576,419.0,0.0,False,False,False
232.0,172,22862,UK: KARAOKE 2,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381945.ts,1256,2025-12-13T13:14:15.951905,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
226.0,155,50610,UK| CLUBLAND TV SD,http://mzzxzgtd.mexamo.xyz/live/7PGRPWPV/2FEKK9KD/191559.ts,1256,2025-12-13T13:14:26.265782,h264,mp2,INTERLACED,OK,2043.4464,25.0,720x576,419.0,0.0,False,False,False
231.0,171,22861,UK: KARAOKE 1,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381946.ts,1256,2025-12-13T13:14:26.266259,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
237.0,177,22867,UK: KARAOKE 7,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381940.ts,1256,2025-12-13T13:14:36.623753,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
234.0,174,22864,UK: KARAOKE 4,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/381943.ts,1256,2025-12-13T13:14:46.922939,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
225.0,7561,50103,UK: That's 90s,http://easyip.xyz/live/g38Stuew/j7jmCpJ/59349.ts,1256,2025-12-13T13:14:55.722357,mpeg2video,mp2,INTERLACED,OK,2155.6888,25.0,544x576,418.0,0.0,False,False,False
225.0,7561,22851,UK: NOW 90S,http://cf.business-cdn.me/live/4a17e36d6d/96a721805e/162411.ts,1256,2025-12-13T13:14:57.235051,N/A,N/A,UNKNOWN,OK,N/A,N/A,N/A,N/A,N/A,False,False,False
228.0,7564,62519,|UK|Box Hits,http://125280576791.d4ktv.info/live/z23etr5537/pb6l2eyhpe/689871.ts,1256,2025-12-13T13:15:00.289699,N/A,N/A,N/A,Timeout,N/A,N/A,N/A,N/A,N/A,False,False,True
